"user_id","rank","track","artists","album","release_date","track_url","timeframe"
"12153521253",21,I Like Me Better - Recorded at Spotify Studios NYC,Lauv,Spotify Singles,"2017-07-19",https://open.spotify.com/track/2uQNcZYa0SEbfW4cj0d9OS,Medium
"12153521253",22,Easy Love,Lauv,I met you when I was 18. (the playlist),"2018-05-31",https://open.spotify.com/track/732Sqj2piYPhdMPENP4axz,Medium
"12153521253",23,Getting Over You,Lauv,I met you when I was 18. (the playlist),"2018-05-31",https://open.spotify.com/track/4G4gtvlaFaI6v6wWD8UvqL,Medium
"12153521253",24,Feelings,Lauv,~how i'm feeling~,"2020-03-06",https://open.spotify.com/track/0s26En1JoJhVj32vizElpA,Medium
"12153521253",25,i'm so tired...,Lauv; Troye Sivan,~how i'm feeling~,"2020-03-06",https://open.spotify.com/track/4vjpLMyL3ZO6aphdYr8XYw,Medium
"12153521253",26,For Now,Lauv,~how i'm feeling~,"2020-03-06",https://open.spotify.com/track/0PxJmAlyKcRdd1r9FvDbTn,Medium
"12153521253",27,Tell My Mama,Lauv,~how i'm feeling~,"2020-03-06",https://open.spotify.com/track/1CJvFjaXKz2yuQWzICeIRo,Medium
"12153521253",28,Chasing Fire,Lauv,I met you when I was 18. (the playlist),"2018-05-31",https://open.spotify.com/track/2zXRAZvUb2B5PzJGwCtFe0,Medium
"12153521253",29,Breathe,Lauv,I met you when I was 18. (the playlist),"2018-05-31",https://open.spotify.com/track/373q2bp4ZvyJ9kFZcpJSMs,Medium
"12153521253",30,Robbers,The 1975,The 1975,"2013-01-01",https://open.spotify.com/track/73jVPicY2G9YHmzgjk69ae,Medium
"12153521253",31,Come Back Home,Lauv,I met you when I was 18. (the playlist),"2018-05-31",https://open.spotify.com/track/6Dno7FrbG6vnTm9KfjFwf6,Medium
"12120382831",50,珊瑚海,Jay Chou; Lara Liang,"11月的蕭邦","2005-11-01",https://open.spotify.com/track/4JY5s40ymnG18f6wxQtzPw,Short
"12120382831",47,The Man Who Can't Be Moved,The Script,The Script,"2008-07-14",https://open.spotify.com/track/3nqqDo8CcCLke3ZoTgiOKf,Medium
"12120382831",48,菊花台,Jay Chou,依然范特西,"2006-09-05",https://open.spotify.com/track/4sLlPACKA3OTNcJryGgWKR,Medium
"12120382831",49,說好的幸福呢,Jay Chou,魔杰座,"2008-11-09",https://open.spotify.com/track/6W2tmkeuHKaedHhdTPnyVs,Medium
"12120382831",50,Adam's Song,blink-182,Greatest Hits,"2005-10-31",https://open.spotify.com/track/0LQwVfQUBrWuTX19hzSJwC,Medium
"12180399177",1,I'll Be Your Mirror,The Velvet Underground; Nico,The Velvet Underground & Nico 45th Anniversary,,https://open.spotify.com/track/4PINSJIlBWsnVeveicq1S8,Short
"12180399177",2,SELF-CONTROL,Babybluebenzo,SELF-CONTROL,,https://open.spotify.com/track/09QUc4xWVIlnsbUyVq3lZD,Short
"12180399177",3,Welcome To The Party,Pop Smoke,Meet The Woo,,https://open.spotify.com/track/0fIffclhgJC5h8AdMMVvkp,Short
"12180399177",4,Florida Kilos,Lana Del Rey,Ultraviolence (Deluxe),,https://open.spotify.com/track/0iQPnK3bi7O27c5T2HBTdr,Short
"12180399177",5,Sad Girl,Lana Del Rey,Ultraviolence (Deluxe),,https://open.spotify.com/track/11MyiSGZSYSmhhqwGUTtAq,Short
"12180399177",6,i dont wanna go outside today,Nohidea,home movies,,https://open.spotify.com/track/3RdObPr3outz4eKgBX3NoW,Short
"12180399177",7,Love/Paranoia,Tame Impala,Currents,,https://open.spotify.com/track/5h9hkYIBWTZYFRmF6Iz1gt,Short
"12180399177",8,Prisoner (feat. Dua Lipa),Miley Cyrus; Dua Lipa,Plastic Hearts,,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B,Short
"12180399177",9,Silver,Caribou,Our Love,,https://open.spotify.com/track/6aIJ5Tc5BtiPSQc6Ago1Y6,Short
"12180399177",10,¡aquí yo mando!,Kali Uchis; Rico Nasty,Sin Miedo (del Amor y Otros Demonios) ∞,,https://open.spotify.com/track/05ufCucv6Z1oLMWeS8XapR,Short
"12180399177",11,//aguardiente y limón %ᵕ‿‿ᵕ%,Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,,https://open.spotify.com/track/0Ui4S8sgBCXv4Ao1HhTTun,Short
"12180399177",12,Zombie (Live from the NIVA Save Our Stages Festival),Miley Cyrus,Plastic Hearts,,https://open.spotify.com/track/0olaaJrCBTMJJvqPdvNpsx,Short
"12180399177",13,Pale Blue Eyes,The Velvet Underground,The Velvet Underground (45th Anniversary),,https://open.spotify.com/track/11VwZwNF29HrqwalYUMitb,Short
"12180399177",14,The Other Woman,Lana Del Rey,Ultraviolence (Deluxe),,https://open.spotify.com/track/1KuVEZR4xuQVNr1KkanAV4,Short
"12180399177",15,Brooklyn Baby,Lana Del Rey,Ultraviolence (Deluxe),,https://open.spotify.com/track/1NZs6n6hl8UuMaX0UC0YTz,Short
"12180399177",16,Us and Them,Pink Floyd,The Dark Side of the Moon,,https://open.spotify.com/track/1TKTiKp3zbNgrBH2IwSwIx,Short
"12180399177",17,quiero sentirme bien,Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,,https://open.spotify.com/track/1xP2jdihnPfoqPNVHHhKnm,Short
"12180399177",18,Bodies,Claudia Tan; Irwinandfire,Bodies,,https://open.spotify.com/track/24ZhIGmqatQWhIDBhoLq2a,Short
"12180399177",19,fue mejor,Kali Uchis; PARTYNEXTDOOR,Sin Miedo (del Amor y Otros Demonios) ∞,,https://open.spotify.com/track/2I9t0e3gLAKOi5syoHxP46,Short
"12180399177",20,I Don't Want to Talk About It - 2008 Remaster,Rod Stewart,Atlantic Crossing,,https://open.spotify.com/track/2JWKzkQbYsNzx019WyGzaH,Short
"12180399177",21,Fly Me To The Moon - Remastered,Frank Sinatra; Count Basie,Ultimate Sinatra,,https://open.spotify.com/track/2dR5WkrpwylTuT3jRWNufa,Short
"12180399177",22,la luna enamorada,Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,,https://open.spotify.com/track/2nDLZMuPMvHzNtUY2e7nV3,Short
"12180399177",23,que te pedí//,Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,,https://open.spotify.com/track/2qS9IaT9KBShx2xn1CqYMC,Short
"12180399177",24,Losing My Religion,R.E.M.,Out Of Time (25th Anniversary Edition),,https://open.spotify.com/track/31AOj9sFz2gM0O3hMARRBx,Short
"12180399177",25,te pongo mal(prendelo),Kali Uchis; Jowell & Randy,Sin Miedo (del Amor y Otros Demonios) ∞,,https://open.spotify.com/track/36Qi2bHMzLMQIHApHFytgv,Short
"12180399177",26,WTF Do I Know,Miley Cyrus,Plastic Hearts,,https://open.spotify.com/track/37PJvlIfYWqEX6fgjHlnTf,Short
"12180399177",27,vaya con dios,Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,,https://open.spotify.com/track/5OJkXdRgQPGrbl6aGnGH1G,Short
"12180399177",28,Mrs. Clean,Aminé,Limbo (Deluxe),,https://open.spotify.com/track/5dwd4rLLaw91tKAa3fHJgk,Short
"12180399177",29,Teach Me How to Dougie,Cali Swag District,The Kickback,,https://open.spotify.com/track/61LtVmmkGr8P9I2tSPvdpf,Short
